PC1,PC2,localization_class
-0.4005584429790019,-0.3806578319065032,cp
-0.11733475440008856,0.04039221546483024,cp
-0.17711784722792667,-0.08954888909628606,cp
-0.3959495806571197,-0.1628655756277892,cp
-0.19021921847873413,-0.0633550654806933,cp
-0.3629107350668678,-0.21463995076391665,cp
-0.15629440896438163,-0.11125453527109919,cp
-0.17703747549760784,-0.45295886273760566,cp
-0.22632084091331828,-0.14699193981335368,cp
-0.3731381442064259,-0.08817970752797666,cp
-0.2856448036251209,-0.20294985567554633,cp
-0.2269371055977939,-0.20592870414009556,cp
-0.23048761619100466,-0.09370681602406605,cp
-0.4343989135652696,-0.11264946145233251,cp
-0.3574522186828317,-0.16438101693118373,cp
-0.3328916520392241,-0.028178062242272428,cp
-0.3348251005723022,-0.2329450112665339,cp
0.025659112665941897,-0.16634879633768268,cp
-0.23110945421495332,-0.1797691515302951,cp
-0.35549193360168674,-0.21357201422778097,cp
0.06793977289095599,-0.2406569075088277,im
-0.025401772078878726,-0.052421651936020885,im
0.47232528774779603,-0.08703261198374601,im
0.42040999529853795,-0.39506454913297323,im
0.38150370216078866,-0.27018133505800423,im
0.32273309294940067,-0.23651334096525314,im
0.46867563787972777,-0.15394196567159119,im
0.2731088409561707,-0.3887123256376245,im
0.3045805553858413,-0.14896223952252352,im
0.17620367499533762,-0.2505828204779724,im
0.40166485776647953,-0.12292555037581149,im
0.05575079569266361,-0.23731630558393288,im
0.4170781376565048,-0.23230156565599114,im
0.6105457561681377,-0.11119793448411608,im
0.3996473228060572,0.0986717763431284,im
0.38032288200822306,-0.18314769460040686,im
0.486271588640537,-0.16775778833763744,im
0.49530851861066616,-0.2507291974938143,im
0.5340086130518392,-0.1317115663000824,im
0.305840450774982,0.04344151219521902,im
0.3041528941030468,-0.11257235230660634,im
0.2994361244446836,-0.24742747043493554,im
0.3863038609109065,0.025870313870655748,im
0.4450636918219141,-0.09253241690627084,im
0.358044792896261,-0.11463491080744881,im
0.5198209672183342,-0.07785112025659735,im
0.3837269737081507,-0.1999792734030671,im
0.39449064174304904,-0.3074535811131619,im
0.5851329409028706,-0.04592758290144855,im
0.4312334635767624,-0.3446728400134936,im
0.32094353741899606,-0.2155728320268748,im
0.3784909993069142,-0.005584541373426732,im
0.22453517615902296,-0.15188022582182092,im
0.2789757786049304,0.05723657147958294,im
0.29604724020205053,0.03172064516680262,im
0.4089326335311335,0.06060437873089908,im
0.4924575222951407,-0.3006997926635423,im
0.46023158787839613,-0.028582492073653487,im
0.5186373604712758,-0.06926184511494166,im
0.42057510377795915,-0.03359004823577888,im
-0.2287353802457417,-0.23600788514834622,im
0.3437245330389226,0.19705863382519462,im
0.2872834179751266,-0.387833473442626,im
0.4504149217614205,0.18568813308497667,im
0.4075663964958952,0.010048460327105824,im
0.16785909637848595,-0.4241614097438695,im
0.1745798234402468,0.07087103550708052,im
0.14391879386530093,-0.28628168027510126,im
0.327622643992202,0.08053313077479374,im
0.3186353434768031,-0.1953449424641696,im
0.320961052236847,-0.16720860502959345,im
0.4667485314302503,-0.1809272903628173,im
0.4467236577494459,-0.05690709024951901,im
0.19138965623416204,-0.12323757743869562,im
0.21112851991426884,-0.029011307899270422,im
0.4392918473565809,-0.11219576601640618,im
0.2937378527048181,-0.25731919062124575,im
0.32723359043466227,-0.02786958437263526,im
0.21671250884225401,-0.22453384304212792,im
0.26204258815253223,-0.24859381829327853,im
0.2577516284710101,-0.2156803880776486,im
0.32577706525238914,-0.3263946126441388,im
0.5346163148119324,-0.023892015968326907,im
0.31008003637865744,-0.12748742302116045,im
0.14047724107270454,-0.37320162400113077,im
0.5073528398035704,-0.42584824695712614,im
0.4373806348963295,0.010356738771945595,im
0.42222923443725546,-0.057429811810841724,im
0.3852548730862809,-0.09977841377606478,im
-0.012654127161202067,0.10452855138120454,im
-0.07286097769242184,-0.018600526474958134,im
-0.11184531074099513,-0.355289620553115,im
-0.21186160766205597,-0.19383142083036636,im
-0.10180868625794093,-0.08683856359212083,im
0.05747366490337391,0.09273278738928492,im
0.344558793940798,0.14903014231486256,im
0.7396341380935404,-0.07166205437450468,im
0.04820124418625471,0.3327367505881109,imS
0.40648746953609793,-0.04978136180839099,imS
-0.058550673491906124,0.33213738740104404,imL
0.499290129424549,-0.04054777737178217,imL
0.4539016893869786,-0.016548532637785773,imU
0.5305254787919179,0.01012169004014879,imU
0.49009676589708573,0.09618115091134405,imU
0.40276666400222616,-0.025512004325947468,imU
0.42361658971904215,0.02770693074145919,imU
0.4543782837934053,-0.024194503740332163,imU
0.37910928818640366,0.004381147918339601,imU
0.3700046086040235,-0.17084450458316003,imU
0.2588355956931515,-0.02939470070374406,imU
0.34373533868837225,-0.007940684689006494,imU
0.3592130256289675,-0.046522366396817116,imU
0.40616254936083374,0.17984001173662245,imU
0.462826884459249,0.12342604508540689,imU
0.43852679149350327,0.102143973533254,imU
0.31614256372031224,0.10186661203847414,imU
0.3677373480269205,-0.010995185912698935,imU
0.40427553556033546,-0.09458246854903235,imU
0.43550641149346203,-0.10269954480874544,imU
0.6404739796797639,0.012231160995461066,imU
0.6072156994424408,0.058615171255476994,imU
0.498798478936748,0.1287401057933546,imU
0.33475405706531036,-0.16876817330863403,imU
0.21605043651131084,0.08421317415568075,imU
0.5757139740434581,-0.010516596275797985,imU
0.24207489151237394,0.00778687350530094,imU
0.49509968461364606,0.09326865768635761,imU
0.4109332335354442,-0.09207756342269208,imU
0.31779602582442756,-0.025327302196470114,imU
0.4373023377506414,0.1135870795558025,imU
0.5688723592360806,0.16610282022766576,imU
0.37702255308629573,-0.018971672677818796,imU
0.5628773662806538,0.13379915976067536,imU
0.32335313854977,0.14471480066663867,imU
-0.16336101981102813,0.037009569573398016,imU
0.3516992899131631,0.07708570125828651,imU
-0.03744169606207348,0.40912583321154805,om
-0.11350214385486834,0.29975105926929957,om
-0.026954231008345375,0.43931121722503297,om
-0.1599295403571137,0.29501925111625416,om
0.07210282136120838,0.3655799099331659,om
0.020513317442009127,0.4743981009460221,om
0.08875028283034292,0.4457002190062873,om
0.08307042521719821,0.4130917088819408,om
-0.009151091978182424,0.374317301102868,om
-0.04305254787005863,0.47740785776498396,om
-0.04058346997683715,0.3836834953710838,om
-0.05083136610709604,0.1816665601636378,om
-0.001331150515038293,0.1893622669553735,om
-0.0890981575463794,0.24664050385251435,om
-0.18120882820998663,0.26012915856104324,om
0.18221006820484253,0.2450057046677312,om
-0.14128622719843953,0.32713833895020195,om
-0.08365928569042114,0.19783403711765435,om
-0.017011572523034202,0.3352619315750739,om
-0.08477446104192055,0.30071740642086,om
-0.18352350479354207,0.46623496122558816,omL
0.025194711453247587,0.20403302248559707,omL
0.020453769630197516,0.24662308281552248,omL
-0.05719647726772603,0.3310072245159168,omL
-0.012206999936533625,0.2566447230533584,omL
0.010695911526000024,0.220394970378732,pp
0.05780272947398568,0.2335580960999909,pp
-0.0841526521009085,0.36319549987822175,pp
0.0060355996871243045,0.39720508561590884,pp
0.03841680872311026,0.1417470272778376,pp
-0.08414500128667435,0.4514373549945184,pp
-0.06857973881162871,0.3013112406796008,pp
-0.08050424703149994,0.40224993462042524,pp
-0.09398323969581912,0.24098621417651844,pp
0.06870081359267133,0.35424353568401235,pp
-0.10934398202902429,0.16535533468627361,pp
0.03610164778611813,0.3013302596050168,pp
-0.07730555132783468,0.27119380260061765,pp
-0.15918512550392783,0.38500196716970136,pp
-0.17921618822777097,0.3521351113509852,pp
0.2132414230205174,0.25762672243705553,pp
-0.29292033297957987,-0.12333481225717191,pp
0.06496879055020377,0.22909375584506275,pp
0.002918649218686342,0.2411407494688187,pp
0.04746684983210614,0.3809607504969441,pp
-0.057930169756765904,0.34773807059689277,pp
-0.20647878192957225,0.4008435984308937,pp
-0.058401058813440154,0.26265205486846177,pp
0.006896125617596227,0.40991812406275807,pp
-0.01389073546035624,0.31256163010656934,pp
-0.03625890959109346,0.31985452615261345,pp
0.07815722025071714,0.18641176738477006,pp
0.003714185485845345,0.4233940576420814,pp
-0.09175668791102298,0.2346738332689826,pp
-0.1846755728274746,0.33431480746684084,pp
0.524961764793855,0.08101752003834606,pp
-0.012748528635672662,0.3894005804183166,pp
-0.2110495262745199,0.31454605642649947,pp
-0.19421481016005915,0.3518205117784978,pp
-0.03166291928750431,0.28492958591434103,pp
0.03789029536440769,0.17901799866607904,pp
-0.09185902665665502,0.29361228242222837,pp
-0.09700778340026806,0.30922728848819325,pp
0.0796456518910672,0.21691281550869201,pp
-0.04257995940471593,0.3611385134812656,pp
-0.05585318653794402,0.2915933714763337,pp
-0.1604705888870518,-0.19617780214396136,pp
-0.09286279130605002,0.3107860331673862,pp
-0.1988703519377215,0.1532958393088788,pp
-0.08738149481662894,0.32219705511183006,pp
0.028480411554740126,0.2620226888661846,pp
0.016918674288048163,-0.028184862405869926,pp
0.08423255743690572,0.27480266886121396,pp
-0.13902577455870635,0.27411596137763594,pp
-0.11190373129789721,0.1871027444203951,pp
-0.10620378100329575,0.17885061314316686,pp
0.10876378581150192,0.2811294726229714,pp
