mcg,gvh,lip,chg,aac,alm1,alm2,class
0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp
0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp
0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp
0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp
0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp
0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
0.71,0.4,0.48,0.5,0.71,0.7,0.74,im
0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
0.0,0.51,0.48,0.5,0.35,0.67,0.44,im
0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
0.61,0.47,0.48,0.5,0.0,0.8,0.32,im
0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS
0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL
0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU
0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
0.74,0.9,0.48,0.5,0.57,0.53,0.29,om
0.73,0.84,0.48,0.5,0.86,0.58,0.29,om
0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
0.77,0.57,0.48,0.5,0.88,0.53,0.2,om
0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
0.56,0.68,0.48,0.5,0.77,0.36,0.45,om
0.65,0.51,0.48,0.5,0.66,0.54,0.33,om
0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
0.71,0.71,0.48,0.5,0.68,0.43,0.36,om
0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
0.77,0.57,1.0,0.5,0.37,0.54,0.01,omL
0.66,0.49,1.0,0.5,0.54,0.56,0.36,omL
0.71,0.46,1.0,0.5,0.52,0.59,0.3,omL
0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
0.68,0.49,1.0,0.5,0.62,0.55,0.28,omL
0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp
0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp
0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp
0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp
0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp
0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp
0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp
0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp
0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp
0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp
0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp
0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp
0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp
0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp
0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp
0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
0.68,0.67,0.48,0.5,0.49,0.4,0.34,pp
0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
0.7154188943206907,0.4393404618262106,1.0,0.6541889432069081,0.47607843249448023,0.7120677397551642,0.6734759413365393,imL
0.7158188853778975,0.44062043320927224,1.0,0.6581888537789756,0.4751984521686254,0.709267802354717,0.6691560379187063,imL
0.7326320642414474,0.4944226055726319,1.0,0.8263206424144747,0.4382094586688156,0.5915755503098677,0.4875737061923674,imL
0.7133918661329511,0.4328539716254436,1.0,0.6339186613295112,0.48053789450750756,0.7262569370693421,0.6953678457641279,imL
0.7189675057397207,0.4506960183671063,1.0,0.6896750573972071,0.4682714873726144,0.687227459821955,0.6351509380110163,imL
0.7081580536740067,0.4161057717568216,1.0,0.5815805367400675,0.4920522819171852,0.7628936242819527,0.7518930203207271,imL
0.7409122615313212,0.5209192369002277,1.0,0.9091226153132114,0.4199930246310935,0.533614169280752,0.39814757546173174,imL
0.719876401400785,0.4536044844825121,1.0,0.6987640140078504,0.46627191691827297,0.6808651901945046,0.6253348648715216,imL
0.7053829887179842,0.4072255638975495,1.0,0.5538298871798422,0.49815742482043474,0.7823190789741105,0.7818637218457705,imL
0.7305158915901792,0.48765085308857337,1.0,0.8051589159017917,0.44286503850160586,0.6063887588687458,0.510428370826065,imL
0.7351577552142192,0.5025048166855016,1.0,0.8515775521421926,0.43265293852871767,0.5738957135004652,0.46029624368643207,imL
0.7253312743004001,0.47106007776128056,1.0,0.7533127430040018,0.4542711965391196,0.6426810798971987,0.5664222375556781,imL
0.71955870098896,0.45258784316467227,1.0,0.6955870098896006,0.4669708578242879,0.6830890930772795,0.6287660293192313,imL
0.7477782010369459,0.5428902433182272,1.0,0.9777820103694598,0.4048879577187189,0.48555259274137813,0.3239954288009834,imL
0.7447855173225902,0.5333136554322888,1.0,0.9478551732259023,0.4114718618903015,0.5065013787418684,0.3563164129160255,imL
0.7243535409435201,0.4679313310192644,1.0,0.743535409435201,0.4564222099242558,0.6495252133953593,0.576981757809983,imL
0.728704113041579,0.4818531617330528,1.0,0.78704113041579,0.4468509513085262,0.6190712087089469,0.5299955791509467,imL
0.7173147831758904,0.4454073061628494,1.0,0.6731478317589044,0.47190747701304103,0.698796517768767,0.6530003417003833,imL
0.7003878017711291,0.39124096566761324,1.0,0.5038780177112913,0.509146836103516,0.817285387602096,0.8358117408718055,imL
0.7158799942101188,0.4408159814723802,1.0,0.6587999421011881,0.47506401273773863,0.7088400405291683,0.6684960625307168,imL
0.7316811475663134,0.49137967221220297,1.0,0.8168114756631342,0.4403014753541105,0.5982319670358061,0.4978436062838152,imL
0.7353598180372349,0.5031514177191517,1.0,0.8535981803723489,0.4322084003180833,0.5724812737393556,0.45811396519786307,imL
0.7327516736704386,0.4948053557454034,1.0,0.8275167367043856,0.4379463179250352,0.5907382843069301,0.48628192435926354,imL
0.7306604182788958,0.4881133384924668,1.0,0.8066041827889585,0.44254707978642915,0.605377072047729,0.5088674825879247,imL
0.7022775652494152,0.39728820879812865,1.0,0.522775652494152,0.5049893564512866,0.8040570432540936,0.8154022953063158,imL
0.713463611841921,0.4330835578941471,1.0,0.6346361184192095,0.4803800539477739,0.7257547171065533,0.6945929921072537,imL
0.7402206855606962,0.518706193794228,1.0,0.9022068556069625,0.42151449176646827,0.5384552010751262,0.40561659594448063,imL
0.7179706474637726,0.44750607188407243,1.0,0.6797064746377262,0.47046457557970023,0.6942054677535916,0.6459170073912557,imL
0.7387569922013507,0.5140223750443224,1.0,0.8875699220135074,0.4247346171570284,0.5487010545905449,0.4214244842254121,imL
0.7351267709174935,0.5024056669359793,1.0,0.8512677091749352,0.4327211039815143,0.5741126035775453,0.46063087409107006,imL
0.7372720127804256,0.5092704408973621,1.0,0.8727201278042565,0.4280015718830636,0.5590959105370205,0.4374622619714031,imL
0.7347247490883974,0.5011191970828716,1.0,0.8472474908839734,0.43360555200552586,0.5769267563812186,0.4649727098453087,imL
0.7225003320521795,0.4620010625669743,1.0,0.7250033205217947,0.4604992694852052,0.6624976756347437,0.5969964138364618,imL
0.7221274412465971,0.4608078119891109,1.0,0.7212744124659716,0.46131962925748626,0.6651079112738199,0.6010236345367507,imL
0.7308408224482021,0.4886906318342469,1.0,0.8084082244820213,0.44215019061395533,0.604114242862585,0.506919117559417,imL
0.7246395249694824,0.4688464799023435,1.0,0.7463952496948234,0.45579304506713886,0.6475233252136237,0.5738931303295908,imL
0.7177468263058149,0.4467898441786077,1.0,0.677468263058149,0.4709569821272072,0.6957722158592956,0.648334275897199,imL
0.7267805437548372,0.47569774001547915,1.0,0.7678054375483723,0.4510828037393581,0.6325361937161393,0.5507701274477579,imL
0.7462390419616841,0.5379649342773891,1.0,0.9623904196168409,0.408274107684295,0.49632670626821135,0.3406183468138118,imL
0.7428108857661342,0.5269948344516295,1.0,0.9281088576613422,0.4158160513145047,0.5203237996370604,0.3776424337257504,imL
0.717003740328541,0.44441196905133123,1.0,0.67003740328541,0.4725917712772098,0.7009738177002129,0.6563596044517572,imL
0.7340101733240075,0.4988325546368243,1.0,0.840101733240076,0.4351776186871833,0.5819287867319468,0.472690128100718,imL
0.7229971026104298,0.46359072835337556,1.0,0.7299710261042986,0.45940637425705433,0.659020281726991,0.5916312918073575,imL
0.7085877346334577,0.4174807508270647,1.0,0.5858773463345772,0.491106983806393,0.7598858575657959,0.7472524659586566,imL
0.7037265137162609,0.4019248438920352,1.0,0.53726513716261,0.5018016698242258,0.793914403986173,0.7997536518643813,imL
0.7471420605982483,0.5408545939143944,1.0,0.9714206059824825,0.40628746668385385,0.49000557581226223,0.3308657455389189,imL
0.7011044907437155,0.3935343703798897,1.0,0.5110449074371551,0.5075701203638259,0.8122685647939913,0.8280714999678724,imL
0.7478268716238357,0.5430459891962741,1.0,0.9782687162383565,0.40478088242756155,0.48521189863315034,0.32346978646257485,imL
0.7457276133062625,0.53632836258004,1.0,0.9572761330626247,0.4093992507262226,0.4999067068561626,0.34614177629236526,imL
0.7298656591824874,0.48557010938395956,1.0,0.7986565918248735,0.44429554979852787,0.6109403857225886,0.5174508808291367,imL
0.7097868884662051,0.42131804309185616,1.0,0.5978688846620506,0.48846884537434887,0.7514917807365645,0.7343016045649854,imL
0.7024234460254407,0.39775502728141043,1.0,0.5242344602544076,0.5046684187440303,0.8030358778219147,0.8138267829252397,imL
0.7331251699312152,0.49600054377988895,1.0,0.8312516993121529,0.43712462615132636,0.5881238104814929,0.48224816474287485,imL
0.747302049974298,0.5413665599177537,1.0,0.9730204997429803,0.40593549005654433,0.4888856501799137,0.3291378602775812,imL
0.7437647282534124,0.5300471304109198,1.0,0.9376472825341243,0.4137175978424927,0.513646902226113,0.36734093486314573,imL
0.7286929858786272,0.4818175548116071,1.0,0.7869298587862721,0.44687543106702016,0.6191490988496096,0.5301157525108262,imL
0.7211244465494139,0.4575982289581247,1.0,0.7112444654941394,0.4635262175912893,0.6721288741541023,0.6118559772663293,imL
0.741112116266549,0.521558772052957,1.0,0.9111211626654903,0.41955334421359214,0.5322151861341567,0.39598914432127047,imL
0.7142549748224025,0.4356159194316883,1.0,0.6425497482240259,0.47863905539071433,0.7202151762431819,0.6860462719180521,imL
0.7314353408018138,0.4905930905658043,1.0,0.8143534080181384,0.4408422502360096,0.5999526143873031,0.5004983193404106,imL
